"ti";"WeekSubWeek";"Event";"Duration.Hrs";"timeSinceApp";"timeSinceApp.NoSo";"timeSinceApp.N";"timeSinceApp.T";"timeSinceApp.S";"diss.d13C";"SD.d13C";"CumOutDiss.g";"CumOutFilt.g";"TotSMout.g";"TotSMout.g.SD";"MELsm.g";"MELsm.g.SD";"Appl.Mass.g";"Appl.Mass.g.OT";"CumAppMass.g";"CumAppMass.g.N";"CumAppMass.g.T";"CumAppMass.g.S";"CumAppMass.g.OT";"CumAppMass.g.N.OT";"CumAppMass.g.T.OT";"CumAppMass.g.S.OT";"iniCo.ug.g.N";"iniCo.ug.g.T";"iniCo.ug.g.S";"CumOutSmeto.g";"CumOutMELsm.g";"MassSoil.g.North";"MassSoil.g.SD.North";"Conc.mug.g.dry.soil.N";"comp.d13C.North";"comp.d13C.SD.North";"ID.N";"Area.N";"Area.T";"Area.S";"MassSoil.g.Talweg";"MassSoil.g.SD.Talweg";"Conc.mug.g.dry.soil.T";"comp.d13C.Talweg";"comp.d13C.SD.Talweg";"ID.T";"MassSoil.g.South";"MassSoil.g.SD.South";"Conc.mug.g.dry.soil.S";"comp.d13C.South";"comp.d13C.SD.South";"ID.S";"DD13C.North";"DD13C.Talweg";"DD13C.South";"CatchMassSoil.g";"CatchMassSoil.g.SD";"BulkCatch.d13";"BulkCatch.d13.SD";"DD13.Bulk";"Area.Catchment";"BulkCatch.Conc";"iniCo.Bulk"
2016-03-25 00:04:00;"W0-0x";0;11,9666666666667;0,5;0,5;0,5;0,5;0,5;NA;NA;0,00354170456730323;0,00345106187959565;0,00699276644689889;0,000215609828393101;1,65037933709677;0,536774633749529;31670,073;24477,491;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;0,00699276644689889;1,65037933709677;102,56769268967;15,3851537539196;0,068592974;NA;NA;"AW-N-0x";101721,702;39247,33;100245,721;16,849010137663;3,79102751174847;0,043806464;NA;NA;"AW-T-0x";82,1519852335736;16,8038153824546;0,076020979;NA;NA;"AW-S-0x";NA;NA;NA;201,568688060907;13,3347048090587;NA;NA;NA;241214,753;0,0676470176774127;9,85954363082242
2016-03-25 12:04:00;"W0-1";0;82,5333333333333;3,9;3,9;3,9;3,9;3,9;NA;NA;0,0281457379982415;0,00690212375919131;0,0280550953105339;0,00137036611713;11,4445742757943;3,72894484133575;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;0,0350478617574328;13,0949536128911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-03-28 22:38:00;"W0-2x";0;37,6333333333333;5,5;5,5;5,5;5,5;5,5;NA;NA;0,198184335543988;0,0126337326798909;0,175770206466446;0,00528396325586955;6,12696080677617;1,8352060402213;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;0,210818068223879;19,2219144196673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-03-30 12:18:00;"W1-1";1;27,2666666666667;6,6;6,6;6,6;6,6;6,6;-31,4666666666667;0,115470053837927;2,84809341925575;0,015705184593818;2,65298053562569;0,0798903528295437;54,2562717859873;15,1295476139451;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;2,86379860384957;73,4781862056546;1551,4705607755;232,720584490152;1,037558485;NA;NA;"AW-N-0";101721,702;39247,33;100245,721;359,32686866297;80,8485453049344;0,934229335;NA;NA;"AW-T-0";4039,44129030884;826,249355351663;3,737977611;NA;NA;"AW-S-0";NA;NA;NA;5950,23871974731;497,789565627351;NA;NA;NA;241214,753;2,14300525275798;9,85954363082242
2016-03-31 15:36:00;"W1-2";1;23,1333333333333;7,6;7,6;7,6;7,6;7,6;-31,6666666666667;0,152752523165195;5,20509563017144;0,0192276523012599;2,36052467862314;0,0484322935994134;49,5950480683566;6,44102745911631;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;5,2243232824727;123,073234274011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-04-01 14:46:00;"W1-3x";1;96,3333333333333;11,6;11,6;11,6;11,6;11,6;NA;NA;12,2264367447804;0,0212716641366762;7,02338512644436;0,162600830113047;117,495937603475;23,1814377002703;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;12,2477084089171;240,569171877486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-04-05 15:08:00;"W2-1";2;23,7;12,6;12,6;12,6;12,6;12,6;-31,1333333333333;0,0577350269189613;15,4956387065809;0,0218897032468716;3,26982000091072;0,0816403463965949;44,9268007600272;12,0946768227951;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;15,5175284098278;285,495972637513;2773,02214616691;263,89692671381;1,854480987;-31,4;0,5;"AW-N-1";101721,702;39247,33;100245,721;656,610877065819;22,3116620638262;1,707150777;-29,9666666666667;0,404145188432737;"AW-T-1";8238,43702688723;163,154956996358;7,623602113;-31,2333333333333;0,513160143944688;"AW-S-1";0,899999999999999;2,3333333333333;1,0666666666667;11668,07005012;179,591145091221;-31,20166256416;0,503897791585375;1,09833743584002;241214,753;4,22808120141708;9,85954363082242
2016-04-06 14:52:00;"W2-2";2;33,7333333333333;14;14;14;14;14;-31,28;0,506951674225463;15,8670869354082;0,0219801475512519;0,371538673131715;0,00983890835990654;46,9050463337132;6,96900009695266;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;15,8890670829595;332,401018971227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-04-08 00:38:00;"W2-3x";2;157,2;20,6;20,6;20,6;20,6;20,6;NA;NA;17,5767383871759;0,0254396425503473;1,71311094676678;0,0624039407281283;45,7076149648697;9,72425926868138;0;0;31670,073;8429,434;6903,61;16337,03;24477,491;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;17,6021780297263;378,108633936096;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016-04-14 13:52:00;"W3-1";3;52,6333333333333;2,2;2,2;2,2;2,2;2,2;-30,9666666666667;0,115470053837927;22,1683594762695;0,0338325083912304;4,60001395493444;0,173021546638842;68,845034755794;19,0498470767772;12316,197;12249,068;43986,27;16239,535;9977,246;17769,49;36726,559;16239,535;5733,829;14753,196;16,290614291845;14,9077507815181;13,697830466194;22,2021919846607;446,953668691891;8416,36917355336;87,1965021313733;5,628514952;-31,2;0,0999999999999996;"AW-N-2";101721,702;39247,33;100245,721;1353,11855365816;38,3421207580802;3,518030954;-31,7666666666667;0,115470053837925;"AW-T-2";5432,65932506293;NA;3,686627797;-31,0666666666667;0,450924975282289;"AW-S-2";1,1;0,533333333333296;1,2333333333333;15202,1470522744;NA;-31,2027899087929;0,226783976606161;1,09721009120714;241214,753;4,47810132086178;14,9880854016063
