"ti";"WeekSubWeek";"tf";"iflux";"fflux";"changeflux";"maxQ";"minQ";"dryHrsIni";"dryHrsMax";"dryHrsAve";"noEventHrsIni";"noEventHrsMax";"noEventHrsAve";"Duration.Hrs";"chExtreme";"Peak";"Markers";"TimeDiff";"AveDischarge.m3.h";"Volume.m3";"Sampled.Hrs";"Sampled";"CumRain.mm";"RainInt.mmhr";"Conc.mug.L";"Conc.SD";"Vol.SPE.L";"Conc.in500uL";"OXA_mean";"OXA_SD";"ESA_mean";"ESA_SD";"N.x";"diss.d13C";"SD.d13C";"N_d13C.diss";"MES.mg.L";"MES.sd";"MO.mg.L";"Conc.Solids.mug.gMES";"Conc.Solids.ug.gMES.SD";"N.y";"filt.d13C";"filt.SD.d13C";"DD13C.diss";"DD13C.filt";"ExpMES.Kg";"DissSmeto.mg";"DissSmeto.mg.SD";"DissSmeto.g";"DissSmeto.g.SD";"DissOXA.mg";"DissOXA.mg.SD";"DissOXA.g";"DissOXA.g.SD";"DissESA.mg";"DissESA.mg.SD";"DissESA.g";"DissESA.g.SD";"FiltSmeto.mg";"FiltSmeto.mg.SD";"FiltSmeto.g";"FiltSmeto.g.SD";"TotSMout.mg";"TotSMout.mg.SD";"TotSMout.g";"TotSMout.g.SD";"FracDiss";"FracFilt";"MELsm.g";"MELsm.g.SD";"CumOutDiss.g";"CumOutFilt.g";"CumOutSmeto.g";"CumOutMELsm.g";"Appl.Mass.g";"Appl.Mass.g.OT";"Appl.Mass.g.N";"Appl.Mass.g.T";"Appl.Mass.g.S";"Appl.Mass.g.N.OT";"Appl.Mass.g.T.OT";"Appl.Mass.g.S.OT";"iniCo.ug.g.N";"iniCo.ug.g.T";"iniCo.ug.g.S";"timeSinceApp";"timeSinceApp.N";"timeSinceApp.T";"timeSinceApp.S";"Appl.Mass.g.NoSo";"timeSinceApp.NoSo";"CumAppMass.g";"CumAppMass.g.OT";"CumAppMass.g.N";"CumAppMass.g.T";"CumAppMass.g.S";"CumAppMass.g.N.OT";"CumAppMass.g.T.OT";"CumAppMass.g.S.OT";"BalMassDisch.g";"prctMassOut";"FracDeltaOut";"Events";"Weeks";"Event"
2016-03-25 00:04:00;"W0-0x";2016-03-25 12:02:00;1,2486;1,12922717826974;-0,11937282173026;1,2486;1,11829637779678;0,0166666666666667;2,75;0,744953703703704;0,0166666666666667;6;3,00833333333333;11,9666666666667;-0,13030362220322;NA;NA;NA;1,20477462754017;14,4171363762307;11,9666666666667;"Not Sampled";2,8;0,233983286908078;0,245659365;0,01931;0,57;NA;"4.8241";"1.1414";"18.0553";"3.4972";NA;NA;NA;NA;NA;NA;NA;0,64472898635092;0,0232375477245465;NA;NA;NA;NA;NA;5,35273262511153;3,54170456730323;0,278394903425015;0,00354170456730323;0,000278394903425015;NA;NA;NA;NA;NA;NA;NA;NA;3,45106187959565;0,124384379832766;0,00345106187959565;0,000124384379832766;6,99276644689889;0,215609828393101;0,00699276644689889;0,000215609828393101;0,506481175111159;0,493518824888841;NA;NA;0,00354170456730323;0,00345106187959565;0,00699276644689889;NA;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;8,45594849751924;7,09093947537323;12,3677445225772;0,5;0,5;0,5;0,5;31670,073;0,5;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"0-1";"W0";"0"
2016-03-25 12:04:00;"W0-1";2016-03-28 22:36:00;1,12438174261579;1,31312483924058;0,18874309662479;1,38038798407296;1,08219916927402;0,0333333333333333;24,5166666666667;7,8272574350693;6,01666666666667;47,2833333333333;26,65;82,5333333333333;0,25600624145717;NA;NA;NA;1,21351066613737;100,155080311871;82,5333333333333;"Sampled";7,6;0,0920840064620355;0,245659365;0,01931;0,57;140,025838;"4.8241";"1.1414";"18.0553";"3.4972";NA;NA;NA;NA;53,44444444;NA;0;0,64472898635092;0,0232375477245465;NA;NA;NA;NA;NA;5,35273262511153;24,6040334309382;1,93399460082223;0,0246040334309382;0,00193399460082223;NA;NA;NA;NA;NA;NA;NA;NA;3,45106187959565;0,124384379832766;0,00345106187959565;0,000124384379832766;28,0550953105339;1,37036611713;0,0280550953105339;0,00137036611713;0,876989835842765;0,123010164157235;NA;NA;0,0281457379982415;0,00690212375919131;0,0350478617574328;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;3,9;3,9;3,9;3,9;0;3,9;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"0-2";"W0";"0"
2016-03-28 22:38:00;"W0-2x";2016-03-30 12:16:00;1,30809987139246;1,45634948147711;0,14824961008465;1,63778159364155;0,929054964110753;0,266666666666667;13,3166666666667;4,85918879056047;47,3;66,1166666666667;56,7083333333333;37,6333333333333;0,32968172224909;NA;NA;NA;1,28471939896462;48,3482733810351;37,6333333333333;"Not Sampled";7,6;0,201948627103632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;5,5;5,5;5,5;5,5;0;5,5;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"0-3";"W0";"0"
2016-03-30 12:18:00;"W1-1";2016-03-31 15:34:00;1,45607958518169;16,445436176296;14,9893565911143;38,3997898080141;1,44897674761303;0,116666666666667;4,2;1,28856328856329;66,1333333333333;72,1;30,3955026455026;27,2666666666667;36,9437102228324;1;16,8897189482269;"24";14,3166474978249;390,367255107358;27,2666666666667;"Sampled";16,8;0,616136919315403;6,788246322;0,28942;1,91;12965,55048;"30.5312";"10.1853";"45.9836";"3.0370";3;-31,4666666666667;0,115470053837927;3;62,5;NA;0,001;0,125889735831757;0,0270636852334274;NA;NA;NA;0,833333333333332;NA;24,3979534442099;2649,90908371176;112,980090973172;2,64990908371176;0,112980090973172;NA;NA;NA;NA;NA;NA;NA;NA;3,07145191392709;0,660298532353912;0,00307145191392709;0,000660298532353912;2652,98053562569;79,8903528295437;2,65298053562569;0,0798903528295437;0,998842263683174;0,00115773631682628;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;6,6;6,6;6,6;6,6;0;6,6;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"1-1";"W1";"1"
2016-03-31 15:36:00;"W1-2";2016-04-01 14:44:00;16,3343489410368;15,1845358179938;-1,149813123043;18,6689719182762;13,2011134373946;4,21666666666667;5,43333333333333;1,31424460431655;1,65;6,36666666666667;3,32908872901679;23,1333333333333;-3,1332355036422;NA;NA;NA;15,5292991375118;359,244453381107;23,1333333333333;"Sampled";6;0,259365994236311;6,560998197;0,19064;1,91;12531,50656;"32.4925";"0.2431";"41.2805";"0.8534";3;-31,6666666666667;0,152752523165195;3;22,5;NA;1e-04;0,435787160684896;0,123237063866661;NA;NA;NA;0,633333333333329;NA;8,08300020107491;2357,00221091569;68,4863625925742;2,35700221091569;0,0684863625925742;NA;NA;NA;NA;NA;NA;NA;NA;3,52246770744188;0,996125212014102;0,00352246770744188;0,000996125212014102;2360,52467862314;48,4322935994134;2,36052467862314;0,0484322935994134;0,998507760694331;0,00149223930566847;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;7,6;7,6;7,6;7,6;0;7,6;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"1-2";"W1";"1"
2016-04-01 14:46:00;"W1-3x";2016-04-05 15:06:00;15,203628654395;5,85637980077503;-9,34724885361997;15,8956400764712;5,47104244868041;3,41666666666667;29,7166666666667;9,46991813674622;6,26666666666667;54,4333333333333;30,35;96,3333333333333;-9,73258620571459;NA;NA;NA;9,1077197661138;877,377004135629;96,3333333333333;"Not Sampled";9,4;0,0975778546712803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;11,6;11,6;11,6;11,6;0;11,6;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"1-3";"W1";"1"
2016-04-05 15:08:00;"W2-1";2016-04-06 14:50:00;5,87010384062002;14,1442199697064;8,27411612908638;19,1639337349349;5,87010384062002;0,516666666666667;5,85;2,13349719101124;54,45;55,1166666666667;7,15051498127341;23,7;13,2938298943149;2;14,1107970978894;"136";14,6057392958147;346,156021310809;23,7;"Sampled";5,4;0,227848101265823;9,444301877;0,33354;1,8;16999,74338;"104.5413";"1.1526";"98.5678";"2.8262";3;-31,1333333333333;0,0577350269189613;3;22,5;NA;1e-04;0,0793526710688331;0,00468371912358462;3;-28,2533333333333;1,77894163291923;1,16666666666666;4,04666666666666;7,7885104794932;3269,20196180053;115,456879348007;3,26920196180053;0,115456879348007;NA;NA;NA;NA;NA;NA;NA;NA;0,618039110195384;0,0364791954770415;0,000618039110195384;3,64791954770415e-05;3269,82000091072;81,6403463965949;3,26982000091072;0,0816403463965949;0,999810986809664;0,000189013190335629;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;12,6;12,6;12,6;12,6;0;12,6;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"2-1";"W2";"2"
2016-04-06 14:52:00;"W2-2";2016-04-08 00:36:00;14,0253759757651;8,06118184572568;-5,96419413003942;14,316238838125;7,6599467300627;5,86666666666667;12,2833333333333;4,79378084896347;9,68333333333333;26,55;18,1166666666667;33,7333333333333;-6,3654292457024;NA;NA;NA;10,5582550913991;356,165138416531;33,7333333333333;"Sampled";0,8;0,0237154150197628;1,042188295;0,03904;2,025;2110,431298;"26.8858";"0.6100";"51.9525";"0.1910";5;-31,28;0,506951674225463;5;5;NA;1e-04;0,0507526961009355;0,00102720522480505;3;-28,6933333333333;2,5730202745671;1,02;3,60666666666666;1,78082569208266;371,191138344763;13,9046870037814;0,371191138344763;0,0139046870037814;NA;NA;NA;NA;NA;NA;NA;NA;0,0903817051590091;0,00182927345537437;9,03817051590091e-05;1,82927345537437e-06;371,281520049923;9,83209855573488;0,371281520049922;0,00983209855573488;0,999756568263492;0,000243431736507803;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;14;14;14;14;0;14;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"2-2";"W2";"2"
2016-04-08 00:38:00;"W2-3x";2016-04-14 13:50:00;8,06114547658054;4,64225281420218;-3,41889266237836;8,06581310501155;4,27978068826177;6,01666666666667;54,0166666666667;23,3338418320176;26,5666666666667;104,666666666667;65,6166666666667;157,2;-3,78136478831877;NA;NA;NA;14,6057392958147;346,156021310809;23,7;"Not Sampled";5,4;0,227848101265823;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;8,45594849751924;7,09093947537323;12,3677445225772;20,6;20,6;20,6;20,6;0;20,6;31670,073;24477,491;8429,434;6903,61;16337,03;8429,434;2727,322;13320,736;NA;NA;0;"2-3";"W2";"2"
2016-04-14 13:52:00;"W3-1";2016-04-16 18:30:00;4,66140225136175;23,7885730891726;19,1271708378109;32,594246195365;3,62027978020054;27,6;29,4333333333333;3,55566455696203;104,683333333333;125,866666666667;92,8036708860759;52,6333333333333;27,9328439440033;3;16,9048084951297;"256";9,87330254521857;519,664823963337;52,6333333333333;"Sampled";20;0,379987333755542;8,8357358;0,47086;1,18;10426,16824;"45.0807";"2.6589";"24.0472";"0.3269";3;-30,9666666666667;0,115470053837927;3;197,5;NA;0,0058;0,0817748696570922;0,00134308933058554;NA;NA;NA;1,33333333333333;NA;102,633802732759;4591,62108909355;244,689379011377;4,59162108909355;0,244689379011377;NA;NA;NA;NA;NA;NA;NA;NA;8,39286584088308;0,13784636540779;0,00839286584088308;0,00013784636540779;4600,01395493444;173,021546638842;4,60001395493444;0,173021546638842;0,998175469482678;0,00182453051732159;NA;NA;NA;NA;NA;NA;12316,197;12249,068;7810,101;3073,636;1432,46;7810,101;3006,507;1432,46;16,290614291845;14,9077507815181;13,697830466194;2,2;2,2;2,2;2,2;12316,197;2,2;43986,27;36726,559;16239,535;9977,246;17769,49;16239,535;5733,829;14753,196;NA;NA;0;"3-1";"W3";"3"
